ID	Species	Source	Search_Key	Transcript	Gene_Symbol
ILMN_1760245	Homo sapiens	RefSeq	NM_144638.1	ILMN_27701	TMEM42
ILMN_1760246	Homo sapiens	RefSeq	NM_003458.1	ILMN_22754	BSN
ILMN_1760247	Homo sapiens	RefSeq	NM_001252.2	ILMN_19983	CD70
ILMN_1760256	Homo sapiens	RefSeq	NM_018047.1	ILMN_14115	RBM22
ILMN_1760265	Homo sapiens	RefSeq	XM_942395.1	ILMN_166271	CYP4Z2P
ILMN_1760280	Homo sapiens	RefSeq	NM_013248.2	ILMN_26865	NXT1
ILMN_1760285	Homo sapiens	RefSeq	NM_203307.2	ILMN_22714	ZNF321
ILMN_1760287	Homo sapiens	RefSeq	NM_001004714.1	ILMN_2769	OR4K13
ILMN_1760288	Homo sapiens	RefSeq	NM_031204.1	ILMN_9106	CABP2
ILMN_1760294	Homo sapiens	RefSeq	NM_152475.1	ILMN_29570	ZNF417
ILMN_1760303	Homo sapiens	RefSeq	NM_181504.2	ILMN_181617	PIK3R1
ILMN_1760305	Homo sapiens	RefSeq	XM_495939.2	ILMN_40920	KIAA1545
ILMN_1760314	Homo sapiens	RefSeq	NM_032040.1	ILMN_13081	CCDC8
ILMN_1760315	Homo sapiens	RefSeq	NM_152718.1	ILMN_18416	VWCE
ILMN_1760320	Homo sapiens	RefSeq	NM_002074.2	ILMN_26098	GNB1
ILMN_1760332	Homo sapiens	RefSeq	NM_004278.2	ILMN_27690	PIGL
ILMN_1760334	Homo sapiens	RefSeq	XM_927799.1	ILMN_38887	LOC644705
ILMN_1760335	Homo sapiens	RefSeq	NM_199162.1	ILMN_162779	ADPRHL1
ILMN_1760338	Homo sapiens	RefSeq	XM_926688.1	ILMN_46386	LOC643357
ILMN_1760339	Homo sapiens	RefSeq	NM_001004309.1	ILMN_27386	ZNF774
ILMN_1760347	Homo sapiens	RefSeq	NM_002727.2	ILMN_2142	SRGN
ILMN_1760352	Homo sapiens	RefSeq	NM_173513.2	ILMN_29844	C2ORF52
ILMN_1760360	Homo sapiens	RefSeq	NM_015565.1	ILMN_5529	RNF160
ILMN_1760361	Homo sapiens	RefSeq	NM_021233.2	ILMN_183807	DNASE2B
ILMN_1760363	Homo sapiens	RefSeq	NM_016204.1	ILMN_28885	GDF2
ILMN_1760369	Homo sapiens	RefSeq	NM_052841.3	ILMN_29356	TSSK3
ILMN_1760374	Homo sapiens	RefSeq	NM_001768.4	ILMN_2358	CD8A
ILMN_1760400	Homo sapiens	RefSeq	NM_025115.1	ILMN_19175	C8ORF41
ILMN_1760403	Homo sapiens	RefSeq	XM_940199.1	ILMN_37762	KIAA1276
ILMN_1760410	Homo sapiens	RefSeq	XM_930987.1	ILMN_30960	LOC653086
ILMN_1760412	Homo sapiens	RefSeq	NM_001007538.1	ILMN_28602	SHISA2
ILMN_1760414	Homo sapiens	RefSeq	NM_001086.2	ILMN_25205	AADAC
ILMN_1760430	Homo sapiens	RefSeq	XM_932785.1	ILMN_137175	FLJ27465
ILMN_1760431	Homo sapiens	RefSeq	NM_002042.2	ILMN_6369	GABRR1
ILMN_1760434	Homo sapiens	RefSeq	NM_001013656.1	ILMN_16888	LOC389936
ILMN_1760441	Homo sapiens	RefSeq	NM_031902.3	ILMN_14369	MRPS5
ILMN_1760449	Homo sapiens	RefSeq	NM_139022.2	ILMN_12383	TSPAN32
ILMN_1760466	Homo sapiens	RefSeq	NM_007077.2	ILMN_6773	AP4S1
ILMN_1760475	Homo sapiens	RefSeq	NM_001005217.1	ILMN_5431	FRG2
ILMN_1760479	Homo sapiens	RefSeq	NM_005372.1	ILMN_25679	MOS
ILMN_1760490	Homo sapiens	RefSeq	NM_001105.2	ILMN_21502	ACVR1
ILMN_1760493	Homo sapiens	RefSeq	NM_017980.2	ILMN_18779	LIMS2
ILMN_1760503	Homo sapiens	RefSeq	NM_024687.1	ILMN_39389	ZBBX
ILMN_1760506	Homo sapiens	RefSeq	NM_182829.1	ILMN_180603	HSD17B7P2
ILMN_1760509	Homo sapiens	RefSeq	NM_005442.2	ILMN_19998	EOMES
ILMN_1760513	Homo sapiens	RefSeq	NM_032372.3	ILMN_21406	DYDC2
ILMN_1760525	Homo sapiens	RefSeq	NM_001005166.1	ILMN_24071	OR52E5
ILMN_1760530	Homo sapiens	RefSeq	NM_001001342.1	ILMN_8697	BLOC1S2
ILMN_1760542	Homo sapiens	RefSeq	NM_148976.1	ILMN_1700	PSMA1
ILMN_1760554	Homo sapiens	RefSeq	NM_000102.2	ILMN_14207	CYP17A1
ILMN_1760556	Homo sapiens	RefSeq	NM_207035.1	ILMN_22593	C1ORF63
ILMN_1760563	Homo sapiens	RefSeq	NM_080686.1	ILMN_6888	BAT2
ILMN_1760573	Homo sapiens	RefSeq	XM_926686.1	ILMN_179043	CT47A7
ILMN_1760574	Homo sapiens	RefSeq	NM_021785.2	ILMN_26013	RAI2
ILMN_1760575	Homo sapiens	RefSeq	NM_003463.3	ILMN_165831	PTP4A1
ILMN_1760579	Homo sapiens	RefSeq	XM_946035.1	ILMN_35484	LOC650687
ILMN_1760593	Homo sapiens	RefSeq	NM_004075.2	ILMN_6263	CRY1
ILMN_1760595	Homo sapiens	RefSeq	XM_926127.1	ILMN_44119	LOC642675
ILMN_1760610	Homo sapiens	RefSeq	XM_939639.1	ILMN_40830	LOC654116
ILMN_1760613	Homo sapiens	RefSeq	NM_007176.1	ILMN_15307	C14ORF1
ILMN_1760617	Homo sapiens	RefSeq	NM_020800.1	ILMN_180232	IFT80
ILMN_1760620	Homo sapiens	RefSeq	NM_018126.1	ILMN_2286	TMEM33
ILMN_1760628	Homo sapiens	RefSeq	NM_024718.2	ILMN_14780	C9ORF86
ILMN_1760635	Homo sapiens	RefSeq	NM_058216.1	ILMN_2944	RAD51C
ILMN_1760638	Homo sapiens	RefSeq	XM_934511.1	ILMN_40519	CCDC40
ILMN_1760647	Homo sapiens	RefSeq	NM_153631.1	ILMN_175225	HOXA3
ILMN_1760649	Homo sapiens	RefSeq	NM_001018073.1	ILMN_18787	PCK2
ILMN_1760651	Homo sapiens	RefSeq	XM_172874.5	ILMN_165466	LOC253724
ILMN_1760665	Homo sapiens	RefSeq	XM_927566.1	ILMN_177151	LOC728765
ILMN_1760667	Homo sapiens	RefSeq	NM_032305.1	ILMN_23668	POLR3GL
ILMN_1760676	Homo sapiens	RefSeq	NM_006791.2	ILMN_26919	MORF4L1
ILMN_1760682	Homo sapiens	RefSeq	NM_018991.2	ILMN_28376	STAG3L1
ILMN_1760683	Homo sapiens	RefSeq	NM_003769.2	ILMN_1122	SFRS9
ILMN_1760688	Homo sapiens	RefSeq	NM_174920.2	ILMN_6753	SAMD14
ILMN_1760698	Homo sapiens	RefSeq	XM_935304.1	ILMN_35600	WHDC1L2
ILMN_1760705	Homo sapiens	RefSeq	NM_024921.2	ILMN_10517	POF1B
ILMN_1760708	Homo sapiens	RefSeq	NM_000496.1	ILMN_26818	CRYBB2
ILMN_1760714	Homo sapiens	RefSeq	NM_001005.3	ILMN_6047	RPS3
ILMN_1760718	Homo sapiens	RefSeq	NM_031449.3	ILMN_183938	ZMIZ2
ILMN_1760727	Homo sapiens	RefSeq	NM_001145.2	ILMN_307787	ANG
ILMN_1760728	Homo sapiens	RefSeq	NM_199180.1	ILMN_10348	KIRREL2
ILMN_1760732	Homo sapiens	RefSeq	NM_176882.1	ILMN_10516	TAS2R40
ILMN_1760737	Homo sapiens	RefSeq	XM_374037.3	ILMN_36592	LOC389105
ILMN_1760741	Homo sapiens	RefSeq	NM_005002.3	ILMN_6998	NDUFA9
ILMN_1760748	Homo sapiens	RefSeq	NM_001033083.1	ILMN_12511	PBLD
ILMN_1760757	Homo sapiens	RefSeq	NM_032043.1	ILMN_13291	BRIP1
ILMN_1760778	Homo sapiens	RefSeq	NM_000118.1	ILMN_18184	ENG
ILMN_1760779	Homo sapiens	RefSeq	NM_207168.1	ILMN_19879	ENSA
ILMN_1760792	Homo sapiens	RefSeq	NM_018846.2	ILMN_21425	KLHL7
ILMN_1760796	Homo sapiens	RefSeq	XM_942598.1	ILMN_44440	LOC652881
ILMN_1760798	Homo sapiens	RefSeq	NM_001035.1	ILMN_167919	RYR2
ILMN_1760802	Homo sapiens	RefSeq	NM_005590.3	ILMN_6718	MRE11A
ILMN_1760830	Homo sapiens	RefSeq	NM_148177.1	ILMN_3809	FBXO32
ILMN_1760842	Homo sapiens	RefSeq	XM_944384.1	ILMN_43746	LOC650843
ILMN_1760849	Homo sapiens	RefSeq	NM_018092.3	ILMN_168668	NETO2
ILMN_1760855	Homo sapiens	RefSeq	NM_000276.3	ILMN_163255	OCRL
ILMN_1760858	Homo sapiens	RefSeq	NM_005370.4	ILMN_8881	RAB8A
ILMN_1760866	Homo sapiens	RefSeq	NM_014334.1	ILMN_4182	C9ORF4
ILMN_1760889	Homo sapiens	RefSeq	NM_024744.12	ILMN_178891	ALS2CR8
ILMN_1760890	Homo sapiens	RefSeq	NM_206926.1	ILMN_7540	SEPN1
ILMN_1760909	Homo sapiens	RefSeq	NM_005117.2	ILMN_18897	FGF19
ILMN_1760922	Homo sapiens	RefSeq	NM_139201.1	ILMN_14065	GIT2
ILMN_1760927	Homo sapiens	RefSeq	XM_940822.1	ILMN_44687	LOC651630
ILMN_1760933	Homo sapiens	RefSeq	NM_002617.3	ILMN_16490	RER1
ILMN_1760950	Homo sapiens	RefSeq	NM_152685.2	ILMN_26484	SLC23A1
ILMN_1760954	Homo sapiens	RefSeq	NM_003677.3	ILMN_181187	DENR
ILMN_1760955	Homo sapiens	RefSeq	NM_001012970.1	ILMN_8320	C1ORF100
ILMN_1760971	Homo sapiens	RefSeq	XM_940737.1	ILMN_32249	LOC651565
ILMN_1760981	Homo sapiens	RefSeq	XM_938247.1	ILMN_41226	LOC649181
ILMN_1760982	Homo sapiens	RefSeq	NM_001023560.1	ILMN_22578	ZNF187
ILMN_1760985	Homo sapiens	RefSeq	NM_213653.2	ILMN_25077	HFE2
ILMN_1760990	Homo sapiens	RefSeq	NM_003027.2	ILMN_183808	SH3GL3
ILMN_1760991	Homo sapiens	RefSeq	XM_945483.1	ILMN_38345	LOC650029
ILMN_1760992	Homo sapiens	RefSeq	NM_182634.2	ILMN_307759	DPY19L2P2
ILMN_1761000	Homo sapiens	RefSeq	NM_001010887.2	ILMN_14768	ACER2
ILMN_1761010	Homo sapiens	RefSeq	NM_000532.2	ILMN_9866	PCCB
ILMN_1761016	Homo sapiens	RefSeq	NM_032567.2	ILMN_663	SPZ1
ILMN_1761023	Homo sapiens	RefSeq	NM_020711.1	ILMN_163183	ERMN
ILMN_1761031	Homo sapiens	RefSeq	NM_152422.3	ILMN_10895	PTPDC1
ILMN_1761042	Homo sapiens	RefSeq	NM_001004743.1	ILMN_2095	OR5M9
ILMN_1761044	Homo sapiens	RefSeq	NM_053004.1	ILMN_21429	GNB1L
ILMN_1761049	Homo sapiens	RefSeq	NM_177422.1	ILMN_8765	EIF2C3
ILMN_1761058	Homo sapiens	RefSeq	NM_032169.3	ILMN_25425	ACAD11
ILMN_1761061	Homo sapiens	RefSeq	NM_002584.1	ILMN_165416	PAX7
ILMN_1761068	Homo sapiens	RefSeq	NM_198943.1	ILMN_16422	MGC52000
ILMN_1761069	Homo sapiens	RefSeq	NM_003369.2	ILMN_182122	UVRAG
ILMN_1761072	Homo sapiens	RefSeq	XM_930476.1	ILMN_32246	LOC653631
ILMN_1761083	Homo sapiens	RefSeq	NM_194247.1	ILMN_5256	HNRNPA3
ILMN_1761084	Homo sapiens	RefSeq	NM_153756.1	ILMN_5239	FNDC5
ILMN_1761086	Homo sapiens	RefSeq	NM_016516.2	ILMN_9216	VPS54
ILMN_1761093	Homo sapiens	RefSeq	NM_054025.1	ILMN_28884	B3GAT1
ILMN_1761101	Homo sapiens	RefSeq	NM_152549.1	ILMN_176424	CCDC112
ILMN_1761108	Homo sapiens	RefSeq	XM_927942.1	ILMN_182587	LOC645306
ILMN_1761112	Homo sapiens	RefSeq	NM_203474.1	ILMN_2528	PORCN
ILMN_1761113	Homo sapiens	RefSeq	NM_013285.1	ILMN_12954	GNL2
ILMN_1761119	Homo sapiens	RefSeq	NM_181600.1	ILMN_9837	KRTAP13-4
ILMN_1761120	Homo sapiens	RefSeq	NM_025141.2	ILMN_28191	TM2D3
ILMN_1761122	Homo sapiens	RefSeq	XM_926759.1	ILMN_167646	CSAG3B
ILMN_1761131	Homo sapiens	RefSeq	NM_006117.2	ILMN_7427	PECI
ILMN_1761138	Homo sapiens	RefSeq	NM_183241.1	ILMN_17952	C9ORF142
ILMN_1761147	Homo sapiens	RefSeq	NM_181427.2	ILMN_18550	GABPB2
ILMN_1761148	Homo sapiens	RefSeq	NM_001031712.1	ILMN_8801	TRMT11
ILMN_1761155	Homo sapiens	RefSeq	NM_002568.3	ILMN_24701	PABPC1
ILMN_1761159	Homo sapiens	RefSeq	NM_015292.1	ILMN_25454	ESYT1
ILMN_1761160	Homo sapiens	RefSeq	XM_943394.1	ILMN_44194	LOC648608
ILMN_1761163	Homo sapiens	RefSeq	NM_006041.1	ILMN_21193	HS3ST3B1
ILMN_1761175	Homo sapiens	RefSeq	NM_003952.2	ILMN_25041	RPS6KB2
ILMN_1761176	Homo sapiens	RefSeq	NM_020137.3	ILMN_27811	GRIPAP1
ILMN_1761181	Homo sapiens	RefSeq	NM_024654.3	ILMN_27370	NOL9
ILMN_1761199	Homo sapiens	RefSeq	NM_007256.2	ILMN_1897	SLCO2B1
ILMN_1761201	Homo sapiens	RefSeq	XM_940401.1	ILMN_137420	LOC649103
ILMN_1761206	Homo sapiens	RefSeq	NM_017734.2	ILMN_23849	PALMD
ILMN_1761210	Homo sapiens	RefSeq	NM_001029866.1	ILMN_7407	LOC155100
ILMN_1761242	Homo sapiens	RefSeq	NM_152516.2	ILMN_30105	COMMD1
ILMN_1761247	Homo sapiens	RefSeq	NM_001018109.1	ILMN_13999	PIR
ILMN_1761259	Homo sapiens	RefSeq	NM_000401.2	ILMN_16578	EXT2
ILMN_1761260	Homo sapiens	RefSeq	NM_014900.3	ILMN_12678	COBLL1
ILMN_1761262	Homo sapiens	RefSeq	NM_002435.1	ILMN_19042	MPI
ILMN_1761264	Homo sapiens	RefSeq	NM_181809.1	ILMN_32610	BMP8A
ILMN_1761266	Homo sapiens	RefSeq	XM_930505.1	ILMN_41958	LOC645676
ILMN_1761268	Homo sapiens	RefSeq	XM_939858.1	ILMN_169342	LOC392275
ILMN_1761275	Homo sapiens	RefSeq	NM_000150.1	ILMN_180849	FUT6
ILMN_1761277	Homo sapiens	RefSeq	NM_000923.1	ILMN_29696	PDE4C
ILMN_1761278	Homo sapiens	RefSeq	NM_181643.2	ILMN_15462	C1ORF88
ILMN_1761280	Homo sapiens	RefSeq	NM_012344.2	ILMN_169717	NTSR2
ILMN_1761281	Homo sapiens	RefSeq	XM_498969.2	ILMN_43594	LOC441019
ILMN_1761283	Homo sapiens	RefSeq	XM_378876.3	ILMN_35305	LOC149351
ILMN_1761288	Homo sapiens	RefSeq	XM_942125.1	ILMN_176899	ULK1
ILMN_1761294	Homo sapiens	RefSeq	NM_001005486.1	ILMN_13694	OR4K15
ILMN_1761301	Homo sapiens	RefSeq	XM_928299.1	ILMN_34712	LOC643373
ILMN_1761309	Homo sapiens	RefSeq	NM_174922.3	ILMN_8656	ADCK5
ILMN_1761312	Homo sapiens	RefSeq	NM_001882.3	ILMN_182524	CRHBP
ILMN_1761314	Homo sapiens	RefSeq	NM_181679.1	ILMN_29561	NFS1
ILMN_1761321	Homo sapiens	RefSeq	NM_145348.1	ILMN_8816	KREMEN2
ILMN_1761322	Homo sapiens	RefSeq	NM_025135.2	ILMN_163420	FHOD3
ILMN_1761324	Homo sapiens	RefSeq	NM_198159.1	ILMN_564	MITF
ILMN_1761334	Homo sapiens	RefSeq	NM_016374.4	ILMN_162934	ARID4B
ILMN_1761348	Homo sapiens	RefSeq	NM_020880.2	ILMN_16961	ZNF530
ILMN_1761361	Homo sapiens	RefSeq	XM_496974.2	ILMN_38340	LOC441347
ILMN_1761363	Homo sapiens	RefSeq	NM_003762.2	ILMN_42259	VAMP4
ILMN_1761364	Homo sapiens	RefSeq	NM_004828.2	ILMN_7140	NCR2
ILMN_1761387	Homo sapiens	RefSeq	XM_938078.1	ILMN_32035	LOC648998
ILMN_1761388	Homo sapiens	RefSeq	NM_138709.1	ILMN_20457	DAB2IP
ILMN_1761409	Homo sapiens	RefSeq	NM_018651.2	ILMN_26432	ZNF167
ILMN_1761411	Homo sapiens	RefSeq	NM_024834.1	ILMN_13531	C10ORF119
ILMN_1761422	Homo sapiens	RefSeq	XM_496129.2	ILMN_40146	LOC440349
ILMN_1761423	Homo sapiens	RefSeq	XM_941048.1	ILMN_45946	LOC651809
ILMN_1761425	Homo sapiens	RefSeq	NM_182487.1	ILMN_12652	OLFML2A
ILMN_1761438	Homo sapiens	RefSeq	XM_937939.1	ILMN_32494	TAKR
ILMN_1761442	Homo sapiens	RefSeq	NM_032259.1	ILMN_26740	WDR24
ILMN_1761445	Homo sapiens	RefSeq	XM_940231.1	ILMN_166476	LOC441617
ILMN_1761450	Homo sapiens	RefSeq	NM_198083.1	ILMN_18916	DHRS4L2
ILMN_1761456	Homo sapiens	RefSeq	NM_018466.2	ILMN_3125	ALG13
ILMN_1761457	Homo sapiens	RefSeq	XM_932437.1	ILMN_32709	LOC653238
ILMN_1761463	Homo sapiens	RefSeq	NM_024329.4	ILMN_13273	EFHD2
ILMN_1761464	Homo sapiens	RefSeq	NM_001025159.1	ILMN_21963	CD74
ILMN_1761474	Homo sapiens	RefSeq	XM_942687.1	ILMN_30702	LOC654189
ILMN_1761476	Homo sapiens	RefSeq	NM_003316.3	ILMN_5286	TTC3
ILMN_1761478	Homo sapiens	RefSeq	XM_937912.1	ILMN_35514	LOC648133
ILMN_1761479	Homo sapiens	RefSeq	NM_016478.3	ILMN_16694	ZC3HC1
ILMN_1761486	Homo sapiens	RefSeq	NM_024808.2	ILMN_162859	C13ORF34
ILMN_1761490	Homo sapiens	RefSeq	NM_007131.2	ILMN_956	ZNF75D
ILMN_1761511	Homo sapiens	RefSeq	NM_000042.1	ILMN_10010	APOH
ILMN_1761514	Homo sapiens	RefSeq	NM_000695.3	ILMN_2447	ALDH3B2
ILMN_1761519	Homo sapiens	RefSeq	NM_001418.1	ILMN_19314	EIF4G2
ILMN_1761527	Homo sapiens	RefSeq	NM_182623.1	ILMN_27721	FAM131C
ILMN_1761531	Homo sapiens	RefSeq	NM_003901.2	ILMN_5084	SGPL1
ILMN_1761536	Homo sapiens	RefSeq	XM_059832.8	ILMN_34083	LOC136288
